@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %09s "SIS18_MID"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951268
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7199988
@ ALFA             %le        0.0452744126
@ ORBIT5           %le                  -0
@ GAMMATR          %le         4.699737352
@ Q1               %le          4.17069226
@ Q2               %le         3.279293335
@ DQ1              %le        -3.834114329
@ DQ2              %le         -6.00864556
@ DXMAX            %le         2.798900023
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         15.21497422
@ BETYMAX          %le         24.63947212
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.168250884
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %09s "-- SIS --"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "09/08/17"
@ TIME             %08s "11.42.29"
* NAME               KEYWORD                             S                  L               ALFX               ALFY               BETX               BETY                 DX                DPX                MUX                MUY               DMUX               DMUY              ANGLE                K1L                 E1                 E2               LRAD 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DR4"               "DRIFT"                    33.38999891                0.6         2.24433328       -6.533478403        9.588345979         24.6394606        2.186605623      -0.6267714031       0.6565997977       0.5232041331                  0                  0                  0                  0                  0                  0                  0
 "QS2D"              "QUADRUPOLE"               34.42999891               1.04        -2.69670285        6.653754678        9.989689253        24.48598456        2.086335731       0.4254263653        0.675102207       0.5293596039                  0                  0                  0        -0.51424984                  0                  0                  0
 "DR5"               "DRIFT"                    35.13979891             0.7098       -3.284470082        5.341396342         14.2351258        15.97182637        2.388303365       0.4254263653       0.6845810703         0.53507325                  0                  0                  0                  0                  0                  0                  0
 "QS3T"              "QUADRUPOLE"               35.62019891             0.4804        1.348816727       0.5043506307        15.21496757        13.29716292        2.409041707      -0.3401805656       0.6896470817       0.5404541213                  0                  0                  0          0.3151424                  0                  0                  0
 "DR6"               "DRIFT"                    36.11999891             0.4998        1.256204672       0.4572026857        13.91297788        12.81657858        2.239019461      -0.3401805656       0.6951154313       0.5465488866                  0                  0                  0                  0                  0                  0                  0
 "DR1"               "DRIFT"                    36.76499891              0.645        1.136687313       0.3963574987        12.36956255        12.26603226        2.019602996      -0.3401805656       0.7029437367       0.5547398216                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                    39.38299279        2.617993878       0.6621348255        0.394447825        7.709587193        10.12682108        1.478037298     -0.07811703853       0.7456355207       0.5924776889                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
 "DR2"               "DRIFT"                    40.35299279               0.97       0.4811562832       0.2837594456        6.600594818        9.468960028        1.402263771     -0.07811703853       0.7673441429       0.6082689552                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                    42.97098667        2.617993878     0.001618208902       0.1804862634        5.349933518        8.213126791        1.539535535       0.1841437867       0.8390658556        0.656240005                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
 "DR3"               "DRIFT"                    49.80999837          6.8390117       -1.276720968      -0.6793317667         14.0703762        11.62473702        2.798897046       0.1841437867       0.9835732522       0.7796302022                  0                  0                  0                  0                  0                  0                  0
 "QS1F"              "QUADRUPOLE"               50.84999837               1.04        2.622106503       -5.469666736         12.5082062        17.43758062        2.562665905      -0.6267708339       0.9954333332       0.7918710343                  0                  0                  0          0.2947256                  0                  0                  0
 "DR4"               "DRIFT"                    51.44999837                0.6        2.244333269       -6.533481317        9.588342341        24.63946945        2.186603404      -0.6267708339        1.004157413       0.7964786183                  0                  0                  0                  0                  0                  0                  0
 "QS2D"              "QUADRUPOLE"               52.48999837               1.04       -2.696700601        6.653756816        9.989683629        24.48599441        2.086333538        0.425425848        1.022659831       0.8026340867                  0                  0                  0        -0.51424984                  0                  0                  0
 "DR5"               "DRIFT"                    53.19979837             0.7098       -3.284467302        5.341398183        14.23511661        15.97183339        2.388300804        0.425425848          1.0321387       0.8083477305                  0                  0                  0                  0                  0                  0                  0
 "QS3T"              "QUADRUPOLE"               53.68019837             0.4804        1.348816418       0.5043503935        15.21495713        13.29716921        2.409039096      -0.3401802576        1.037204714       0.8137285993                  0                  0                  0          0.3151424                  0                  0                  0
 "DR6"               "DRIFT"                    54.17999837             0.4998        1.256204326       0.4572024798        13.91296776        12.81658508        2.239017004      -0.3401802576        1.042673068       0.8198233616                  0                  0                  0                  0                  0                  0                  0
 "DR1"               "DRIFT"                    54.82499837              0.645        1.136686921       0.3963573331        12.36955291          12.266039        2.019600737      -0.3401802576        1.050501379       0.8280142922                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                    57.44299225        2.617993878       0.6621342408        0.394447997        7.709580084        10.12682781        1.478035839     -0.07811672919          1.0931932       0.8657521362                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
 "DR2"               "DRIFT"                    58.41299225               0.97       0.4811556291       0.2837596781         6.60058891        9.468966364        1.402262612     -0.07811672919        1.114901843        0.881543392                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                    61.03098612        2.617993878     0.001617367792       0.1804867731        5.349931484        8.213131119        1.539535177       0.1841440965        1.186623604       0.9295144121                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
 "DR3"               "DRIFT"                    67.86999782          6.8390117       -1.276722291      -0.6793309571        14.07038898        11.62473233        2.798898808       0.1841440965        1.331130947          1.0529046                  0                  0                  0                  0                  0                  0                  0
 "QS1F"              "QUADRUPOLE"               68.90999782               1.04        2.622108892       -5.469663638        12.50821774        17.43757223        2.562667709      -0.6267710635        1.342991017        1.065145437                  0                  0                  0          0.2947256                  0                  0                  0
 "DR4"               "DRIFT"                    69.50999782                0.6        2.244335406       -6.533477564        9.588351158        24.63945695        2.186605071      -0.6267710635        1.351715089        1.069753024                  0                  0                  0                  0                  0                  0                  0
 "QS2D"              "QUADRUPOLE"               70.54999782               1.04       -2.696702686        6.653753623        9.989692401        24.48598119         2.08633541         0.42542649         1.37021749        1.075908495                  0                  0                  0        -0.51424984                  0                  0                  0
 "DR5"               "DRIFT"                    71.25979782             0.7098       -3.284469671        5.341395514        14.23512854        15.97182433        2.388303133         0.42542649        1.379696351        1.081622142                  0                  0                  0                  0                  0                  0                  0
