@ NAME             %11s "SECTORTABLE"
@ TYPE             %09s "SECTORMAP"
@ TITLE            %09s "-- SIS --"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "09/08/17"
@ TIME             %08s "11.42.29"
* NAME                              POS                R11                R21                R31                R41                R51                R61                R12                R22                R32                R42                R52                R62                R13                R23                R33                R43                R53                R63                R14                R24                R34                R44                R54                R64                R15                R25                R35                R45                R55                R65                R16                R26                R36                R46                R56                R66 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QS1F"                     123.0900015       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      123.6900015                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     124.7300015        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      125.4398015                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     125.9202015       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      126.4200015                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "DR1"                      127.0650015                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       129.6829954       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      130.6529954                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       133.2709892       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3"                      140.1100009                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.785802548e-06                  1
 "QS1F"                     141.1500009       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      141.7500009                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     142.7900009        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      143.4998009                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     143.9802009       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      144.4800009                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "DR1"                      145.1250009                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       147.7429948       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      148.7129948                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       151.3309887       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3A"                     156.6300004                  1                  0                  0                  0                  0                  0          5.2990117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          5.2990117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0     1.38367779e-06                  1
 "S03MB4"                   156.6300004                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
 "DR3B"                     158.1700004                  1                  0                  0                  0                  0                  0               1.54                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               1.54                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    4.021247578e-07                  1
 "QS1F"                     159.2100004       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      159.8100004                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     160.8500004        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      161.5598004                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     162.0402004       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      162.5400004                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "S04DX5H"                  162.5400004                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
 "DR1"                      163.1850004                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       165.8029943       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      166.7729943                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       169.3909882       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3"                      176.2299999                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.785802548e-06                  1
 "QS1F"                     177.2699999       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      177.8699999                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     178.9099999        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      179.6197999                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     180.1001999       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      180.5999999                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "DR1"                      181.2449999                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       183.8629937       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      184.8329937                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       187.4509876       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3"                      194.2899993                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.785802548e-06                  1
 "QS1F"                     195.3299993       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      195.9299993                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     196.9699993        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      197.6797993                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     198.1601993       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      198.6599993                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "DR1"                      199.3049993                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       201.9229932       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      202.8929932                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       205.5109871       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3"                      212.3499988                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.785802548e-06                  1
 "QS1F"                     213.3899988       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      213.9899988                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     215.0299988        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      215.7397988                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     216.2201988       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      216.7199988                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "SIS18_MID$END"            216.7199988                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
