@ NAME             %11s "SECTORTABLE"
@ TYPE             %09s "SECTORMAP"
@ TITLE            %09s "-- SIS --"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "09/08/17"
@ TIME             %08s "11.42.29"
* NAME                              POS                R11                R21                R31                R41                R51                R61                R12                R22                R32                R42                R52                R62                R13                R23                R33                R43                R53                R63                R14                R24                R34                R44                R54                R64                R15                R25                R35                R45                R55                R65                R16                R26                R36                R46                R56                R66 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DR4"                      51.44999837                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     52.48999837        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      53.19979837                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     53.68019837       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      54.17999837                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "DR1"                      54.82499837                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       57.44299225       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      58.41299225                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       61.03098612       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3"                      67.86999782                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.785802548e-06                  1
 "QS1F"                     68.90999782       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      69.50999782                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     70.54999782        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      71.25979782                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     71.74019782       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      72.23999782                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "S10DX5H"                  72.23999782                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
 "DR1"                      72.88499782                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                        75.5029917       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                       76.4729917                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       79.09098558       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3C"                     84.94999728                  1                  0                  0                  0                  0                  0          5.8590117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          5.8590117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.529904975e-06                  1
 "S11MB1"                   84.94999728                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
